school,state,subject,course_level,time,location,group_type
Vincennes University at Fort Benning,Kentucky,Anthropology,800,2022-12-31,"[32.3641605, -84.95960490000002]",Partner
Barton County Community College at Ellsworth Correctional Facility,Arkansas,Sports Management,500,2022-08-27,"[38.7408109, -98.2335601]",Group
Colorado State University at St. Vrain Valley School District,Delaware,Public Health ,800,2021-11-29,"[40.1554221, -105.1071666]",Partner
Covenant Medical Center- Waterloo,North Dakota,Urban Planning,100,2022-08-29,"[42.4614809, -92.3460257]",Group
"Central Baptist Theological Seminary - Nashville, TN location (at Scarritt-Bennett Center of the United Methodist Church)",Louisiana,Web Design,500,2021-08-30,"[36.144912299999994, -86.7970421]",Partner
Yates Center Senior High School,Delaware,Marine Science,100,2021-08-28,"[37.8867369, -95.7329851]",Partner
Alaska Career College,Montana,Clinical Psychology ,700,2022-07-28,"[61.18136479999999, -149.8570744]",Group
Dixon School District,Nevada,Organizational Behavior Studies,800,2021-09-28,"[41.8389765, -89.45933509999998]",Group
Suncoast Technical College,Indiana,"Hispanic-American, Puerto Rican, and Chicano Studies",800,2022-07-30,"[27.3598951, -82.5343958]",Partner
Saint Joseph's College of Maine,Rhode Island,Art Therapy,100,2021-11-28,"[43.8270272, -70.484296]",Partner
Pasadena City College,Alabama,Experimental Pathology,400,2022-12-31,"[34.1440134, -118.1191895]",Group
Savannah College of Art and Design,Mississippi,Welding Engineering ,100,2021-11-30,"[32.06808710000001, -81.09457330000001]",Partner
Southern Illinois University Carbondale at Mount San Antonio College,Alaska,Historic Preservation ,600,2021-08-31,"[34.0482035, -117.845125]",Group
"Lake Technical College, Institute of Public Safety",North Dakota,Mental Health Services ,300,2022-11-27,"[28.7710772, -81.7443885]",Partner
University of Northern Colorado at Fort Morgan Community College,New Jersey,Surveying ,500,2022-09-27,"[40.2589405, -103.7720041]",Partner
Benedictine University at Parent Resource Center - Chicago Public Schools,California,Music Education,800,2021-10-27,"[41.830788, -87.6134694]",Partner
Olivet Nazarene University at Oswego High School,Delaware,Kinesiology,600,2022-07-31,"[41.6827008, -88.34065199999998]",Partner
Olivet Nazarene University at Jesus Name Apostolic Church,Kentucky,Gay and Lesbian Studies,600,2022-07-31,"[42.3563901, -87.8320651]",Group
University of Phoenix at Escorial Learning Center,Iowa,Marine Science,500,2022-09-27,"[18.3954431, -65.9913667]",Partner
Southern Illinois University Carbondale at San Diego,Kansas,Construction Management,500,2022-10-28,"[32.684121399999995, -117.114349]",Partner
Gateway Seminary (Pacific Northwest Campus),Oregon,Sound Engineering,100,2022-11-27,"[45.6454276, -122.5625853]",Partner
Morgan Community College at Wray High School,District  of Columbia,Sport and Leisure Studies ,500,2021-12-29,"[40.0753268, -102.2509168]",Partner
Concordia University Chicago at Crystal Lake Central High School,Maryland,Turfgrass Science,300,2021-09-29,"[42.2371205, -88.3225643]",Group
MidAmerica Nazarene University at North Kansas City Hospital,Virginia,Scandinavian Studies,100,2022-12-28,"[39.1495404, -94.551452]",Partner
University of New Haven at Lincoln Middle School,Maine,Entrepreneurship ,500,2022-10-29,"[41.537161499999996, -72.8242963]",Group
MTI College,Kansas,Rural Sociology,200,2022-07-27,"[38.6613956, -121.3424893]",Partner
Olivet Nazarene University at RML Specialty Hospital,New Mexico,Special Education ,400,2021-11-30,"[41.87499580000001, -87.71225849999998]",Partner
Baxter Springs High School,New Jersey,Education,400,2021-11-27,"[37.0377232, -94.73357359999999]",Group
Ivy Tech Community College of Indiana at Adams Central High School,Idaho,Nursing,700,2021-08-31,"[40.7461276, -84.9424082]",Partner
Muscatatuck Urban Training Center (MUTC),Kansas,Women's Studies,200,2021-10-30,"[39.049481400000005, -85.52869310000001]",Partner
Saint Xavier University at Lake Geneva 35,Vermont,Landscape Architecture ,100,2022-08-27,"[42.594635600000004, -88.438041]",Partner
American University Tenley Campus,Iowa,Ethnic Studies,200,2021-10-29,"[38.9452951, -77.0803772]",Group
Strayer University - Metairie Campus,Louisiana,Art Therapy,500,2022-08-28,"[30.0009697, -90.1240696]",Group
Hagerstown Community College at Maryland Correctional Training Center,West Virginia,African Studies,200,2022-07-28,"[39.5643927, -77.71444609999999]",Partner
University of Phoenix at Westec II (Nursing Simulation Lab),Florida,Nutrition,200,2021-11-28,"[33.4135132, -111.97935670000001]",Partner
Scripps College,Colorado,Nuclear Engineering,400,2021-09-30,"[34.103370399999996, -117.71134340000002]",Group
Hair Professionals School of Cosmetology,Ohio,English,200,2022-10-27,"[41.682578, -88.364795]",Group
Mindfire Academy,Maine,Aviation ,100,2021-07-29,"[37.662833500000005, -97.2893133]",Partner
Strayer University Anne Arundel Campus,Idaho,Theology ,100,2022-12-29,"[39.073226, -76.634367]",Partner
Fresno Pacific Biblical Seminary,Connecticut,Environmental Design/Architecture,600,2022-10-31,"[36.725441700000005, -119.73405279999999]",Partner
Pacific Lutheran Theological Seminary of California Lutheran University,Virginia,Information Technology,600,2021-08-29,"[37.8697148, -122.2702183]",Group
Southeast Arkansas College,New Jersey,Managerial Economics,400,2022-12-29,"[34.209861100000005, -92.02640059999999]",Partner
Alexander City Campus,Virginia,Atmospheric Science,700,2021-12-31,"[32.925393, -85.945145]",Partner
"Indiana Wesleyan University at Holiday Inn Express, Portage",Florida,Engineering Physics,300,2021-12-30,"[41.583374299999996, -87.1822488]",Partner
Merced College,Massachusetts,Athletic Training,300,2022-07-29,"[37.333682399999994, -120.4730031]",Partner
University of Maine at Augusta at Rangeley Lakes Regional School,West Virginia,International Agriculture,300,2022-07-31,"[44.9973974, -70.6516012]",Partner
Jones Lang LaSalle (JLL),Oklahoma,Social Psychology ,300,2021-11-27,"[41.8849199, -87.6213882]",Partner
Moraine Valley Community College District,Alabama,Photography,700,2022-11-30,"[41.6954495, -87.83480879999998]",Partner
North-West College,North Carolina,Food Science,800,2021-11-28,"[34.189507, -118.45016580000001]",Partner
NewSchool of Architecture and Design,Georgia,Government,500,2022-12-27,"[32.7133097, -117.15343999999999]",Partner
Mercer University - Piedmont Healthcare Systems,Alabama,Epidemiology,800,2021-07-28,"[33.808828600000005, -84.39441819999998]",Partner
Northern Illinois University at New Trier High School,California,Landscape Architecture ,100,2022-07-28,"[42.09486679999999, -87.76674320000001]",Partner
Grand Canyon University at Scottsdale Healthcare - Shea,Washington,Range Science and Management,400,2022-10-30,"[33.5801319, -111.8847121]",Group
University of Northern Colorado at Colorado Spring Center at Oracle,Connecticut,Education of the Deaf ,300,2022-09-29,"[39.0105933, -104.8191054]",Group
West Michigan College of Barbering and Beauty,South Carolina,Materials Science ,100,2021-10-29,"[42.2592771, -85.5902705]",Partner
Strayer University South Charlotte Campus,Arizona,Technology Education,200,2022-12-30,"[35.13879319999999, -80.93036440000002]",Partner
Emily Griffith Technical College,Mississippi,Nursing,700,2022-12-28,"[39.8119848, -104.9868044]",Group
ITT Technical Institute - Oklahoma City,Kansas,Crafts,100,2021-10-30,"[35.5220782, -97.54587420000001]",Partner
Roosevelt University - Albert A. Robin Campus,California,Materials Science ,200,2022-07-27,"[42.0539031, -88.0386012]",Group
Benedictine College at Missouri Regional Police Academy,Michigan,Business Education,700,2022-08-27,"[39.216569899999996, -94.4989484]",Partner
University of Phoenix at Holiday Inn Express - El Centro,South Carolina,Archeology ,800,2022-12-27,"[32.775701500000004, -115.55002069999999]",Partner
J.F. Drake State Community and Technical College,Indiana,Marine Biology,500,2022-11-29,"[34.77184039999999, -86.57302410000001]",Group
National University -  Footprints Behavioral Health Corporation COFF-031,Idaho,Astronomy,100,2021-12-29,"[33.6800425, -117.85517709999999]",Group
Ivy Tech Community College of Indiana at Warsaw Area Career Center,Virginia,Feed Science,800,2021-08-30,"[41.22546029999999, -85.86229689999998]",Partner
ITT Technical Institute - Eden Prairie,Vermont,Massage Therapy,500,2021-12-30,"[44.8606158, -93.40322059999998]",Partner
Eastern Illinois University at PACE Bus Co.,Alabama,Data Processing,300,2022-10-27,"[42.0478464, -87.98775490000001]",Partner
University of Phoenix at American Legion Post 555,Mississippi,Planetary Science,400,2022-10-28,"[33.7505993, -117.9890098]",Group
Bee-Jay's Hairstyling Academy,Virginia,Architectural Engineering,300,2021-12-28,"[34.7708398, -92.40608]",Group
South Orlando Regional Campus,Rhode Island,Mental Health Services ,400,2022-07-27,"[28.4622811, -81.4049311]",Group
University of Phoenix at Wichita Learning Center,Alaska,Aviation ,100,2022-12-28,"[37.7298943, -97.4655209]",Partner
Indiana Wesleyan University at Columbus Education Center,Kansas,Pharmacology ,700,2021-10-28,"[39.206287100000004, -85.9217302]",Partner
Forest Lake Academy,Nebraska,Agriculture,700,2022-12-31,"[28.6700781, -81.43686869999998]",Group
National Louis University at Nathan Hale School,Mississippi,Industrial Psychology ,800,2021-09-28,"[41.7799456, -87.7772557]",Partner
Indiana Institute of Technology at Columbus Visitor's Center,Georgia,Art ,200,2022-09-27,"[39.2038365, -85.919474]",Partner
Fresno Pacific University - North Fresno Center,Missouri,Ocean Engineering ,300,2022-11-29,"[36.8570348, -119.78666340000001]",Partner
Rockford Health System,Minnesota,Korean,200,2021-11-30,"[42.2977902, -89.09914069999998]",Partner
University of St. Francis at Erlanger Medical Center,Louisiana,Korean,600,2021-07-30,"[35.048200099999995, -85.2907565]",Partner
CSU East Bay -  Alameda County Office of Education,Maryland,Criminology,200,2022-10-29,"[37.658510299999996, -122.0983459]",Group
Cambridge Junior College - Woodland,Hawaii,Jewelry and Metalsmithing,400,2021-07-27,"[38.677741299999994, -121.77461699999999]",Partner
George Washington University at McLean Hilton,Tennessee,Teaching English as a Second Language,100,2021-08-29,"[38.9264629, -77.21599520000001]",Group
Indiana Wesleyan University at Greencastle High School,North Dakota,Animal Behavior and Ethology,100,2021-08-27,"[39.6433429, -86.84375920000001]",Partner
Valencia College,Michigan,"African Languages, Literatures, and Linguistics",400,2021-08-29,"[28.5207946, -81.4713668]",Partner
"George Washington University at Lockheed Martin Corporation, Colorado Springs",Maryland,Cognitive Psychology,100,2022-11-28,"[38.9836068, -104.80150640000001]",Partner
Carrington College Branch Campus Pamona,South Carolina,Game Design,600,2022-10-27,"[34.0628206, -117.8039405]",Partner
Northland Pioneer College at Eagar Heavy Equipment Operations,Wisconsin,Physics,100,2021-12-29,"[34.109259, -109.249321]",Partner
Benedictine University at Lincolnway North High School,Rhode Island,Mental Health Services ,600,2022-12-30,"[41.5264373, -87.79477740000002]",Partner
Thunderbird School of Global Management - Miami Campus,North Dakota,Anthropology,600,2022-11-29,"[25.807533399999997, -80.32878149999998]",Group
Corpus Christi Education Center-NAS Corpus Christi,Iowa,Industrial Engineering ,300,2021-12-29,"[27.685631199999996, -97.2464071]",Group
Loyola University Maryland at Montessori Education Center of Arizona,Arizona,Economics,400,2021-09-29,"[33.5380142, -112.07168429999999]",Partner
Fort Hays State University at Cloud County Community College,Nebraska,Painting ,400,2021-11-28,"[39.553964799999996, -97.66634599999999]",Group
Roaring Fork High School,Maine,Child Development,300,2021-08-28,"[39.387999799999996, -107.2040301]",Partner
WTI Topeka Campus,California,Rural Sociology,200,2022-08-29,"[38.999818, -95.7042663]",Partner
Aurora University at Wheaton-Warrenville South High School,Missouri,Public Health ,400,2022-08-31,"[41.834870200000005, -88.1461204]",Partner
Ivy Tech Community College of Indiana at Henry County Campus,Arkansas,Modern Greek ,800,2021-07-30,"[39.8846757, -85.38683929999998]",Partner
University of Phoenix at International Palms Resort and Conference Center,Texas,Pre-Medicine ,500,2021-09-29,"[28.458859499999996, -81.4705517]",Partner
Arkansas State University-Beebe Little Rock Air Force Base,California,Architectural History,300,2022-08-30,"[34.887953, -92.1117892]",Group
Alfred - Southern Maine Reentry Center,Oregon,Home Economics,100,2021-09-30,"[43.4541684, -70.718277]",Partner
Lincoln Technical Institute - New Britain,Wisconsin,Jewish Studies,400,2022-10-28,"[41.6592598, -72.7544838]",Group
Keiser University - Melbourne,Georgia,Teaching English as a Second Language,600,2021-12-30,"[28.0947349, -80.6231521]",Group
Ivy Tech Community College of Indiana at C4 Columbus Area Career Connection,New Mexico,Pharmacy ,300,2022-10-28,"[39.2110223, -85.9046965]",Partner
Hopkinsville Campus,New Mexico,Classics,300,2021-07-27,"[36.80512, -87.47409449999998]",Group
University of Maryland - Baltimore,New Mexico,Physics,400,2021-11-29,"[39.292289700000005, -76.6256144]",Group
University of Phoenix at Allstate Inc.,Connecticut,English Literature,200,2021-07-29,"[41.25430120000001, -81.48880290000001]",Group
Jasper County Community School District,Kansas,Organizational Behavior Studies,400,2022-08-31,"[38.9839219, -88.1640901]",Group
Benedictine University at Carol Stream Fire Protection District Station 1,Wisconsin,Asian-American Studies ,200,2021-12-29,"[41.911213700000005, -88.1392802]",Group
Oakland City University at Wabash Valley Correctional Facility,Maryland,Agricultural Economics,200,2022-07-29,"[38.9553738, -87.4073446]",Partner
Maricopa Community Colleges - Gateway Community College at Arizona Field Ironworkers,Utah,American History,600,2021-07-29,"[33.4140983, -112.0582828]",Partner
Arizona State University at Mirage School (Deer Valley School District),Indiana,Logistics Management,200,2022-07-27,"[33.6485573, -112.1446632]",Group
Eastern Illinois University at Tri-County Special Ed District,Idaho,Genetics ,600,2022-08-31,"[37.7486357, -89.09571020000001]",Partner
National Louis University at Flinn Middle School,West Virginia,Land Use Planning and Management,100,2022-12-29,"[42.239858500000004, -89.04794489999998]",Partner
Arkansas State University Technical,Wisconsin,Ceramics ,700,2021-07-28,"[44.4903519, -92.31159]",Group
Roberto-Venn School of Luthiery,Minnesota,Music Therapy,100,2022-12-28,"[33.4548895, -112.0862477]",Group
Keiser University - Lakeland,Kansas,Electrical Engineering ,500,2022-08-28,"[27.254967100000002, -80.41995969999998]",Partner
Garden City Community College at Bryan Education Center,New York,Islamic Studies ,700,2021-08-28,"[38.482913, -100.906678]",Partner
University of Northern Colorado at Denver Center at Lowry,Montana,Health Administration,300,2022-12-27,"[39.7295485, -104.883591]",Partner
"Buena Vista University at Central High School, Davenport",Illinois,Human Development,500,2021-08-29,"[41.530885299999994, -90.57581850000001]",Partner
Upper Iowa University at Blackhawk Center,South Carolina,Kinesiology,600,2022-07-27,"[42.6367982, -89.0118725]",Group
Indiana Wesleyan University at Jasper High School,Vermont,Petroleum Engineering ,200,2022-08-28,"[38.40240319999999, -86.9502047]",Partner
Carrington College - Tri City Inc.,West Virginia,Artificial Intelligence and Robotics,800,2021-12-29,"[33.3924995, -111.85326380000001]",Group
California State University - Fullerton,Idaho,Forestry ,400,2021-10-29,"[33.8822013, -117.88938370000001]",Partner
National Louis University at Lincoln Junior High School,New Mexico,Music Management,200,2022-09-30,"[41.747015399999995, -88.1381365]",Group
Florida Atlantic University,Florida,African Studies,700,2021-12-27,"[26.3693119, -80.10584770000001]",Partner
Eastern Nazarene College at Lexington Christian Academy,Illinois,Physical Education ,600,2022-09-29,"[42.4352744, -71.1930071]",Partner
University of Dubuque,New Mexico,Nutrition,100,2022-07-27,"[42.4972561, -90.6926145]",Partner
Aspen Valley Ranch,Rhode Island,Sculpture ,500,2022-09-27,"[38.9761088, -105.0587702]",Group
Governors State University at George T. Wilkins School,Washington,Biblical Studies,300,2021-09-27,"[41.7447554, -87.82273649999998]",Partner
University of Alaska Southeast,Colorado,Public Relations,100,2022-10-27,"[58.384389799999994, -134.639532]",Partner
Center for Employment Training - Sacramento,Kansas,Architecture,400,2022-08-29,"[38.5242204, -121.3930533]",Group
Troy University - Dothan,Colorado,Graphic Design,200,2021-10-30,"[31.2843925, -85.47033850000003]",Group
Spoon River College - Havana Campus,Kentucky,Plant Pathology,700,2022-11-29,"[40.2965233, -90.05676]",Partner
Notre Dame of Maryland University at Franklin Square Hospital Center,Idaho,Tourism,600,2021-10-28,"[39.351097499999995, -76.4778621]",Partner
Pacifica Graduate Institute,District  of Columbia,Experimental Pathology,100,2022-11-27,"[34.4219474, -119.5805358]",Partner
Friends University at Labette Community College,South Dakota,American History,600,2022-11-29,"[37.3390987, -95.2553038]",Group
Ivy Tech Community College of Indiana at Area 30 Career Center,Arkansas,Biblical Studies,400,2021-08-27,"[39.64713800000001, -86.816153]",Group
West City Center - Pt. Loma Campus,District  of Columbia,Planetary Science,700,2022-09-28,"[32.7501912, -117.2151564]",Group
Goshen High School,Delaware,Cinematography and Film/Video Production,300,2021-09-29,"[41.5804716, -85.8233391]",Group
Lighthouse Ministries,Hawaii,Astrophysics,500,2021-11-28,"[40.7928248, -81.3533262]",Partner
Pro Way Hair School,Alaska,Educational Psychology ,800,2022-07-31,"[33.8017565, -84.2051932]",Partner
Concordia University Chicago at St. Mary Immaculate School,Louisiana,Agricultural Economics,600,2021-11-29,"[41.5975796, -88.1993944]",Group
University of Phoenix at St. George Learning Center,Texas,Criminal Science,500,2022-08-31,"[37.096710200000004, -113.5627129]",Group
University of New Haven at Hilton Garden Inn,Vermont,Industrial Management ,800,2022-11-29,"[41.27672570000001, -73.11995689999998]",Partner
Resurrection University at Malcolm X College,Idaho,Native American Studies,300,2021-08-28,"[41.876586700000004, -87.6646023]",Partner
"Southern Baptist Theological Seminary - Nashville, TN location (Forest Hills Baptist Church)",Nebraska,Youth Ministries,300,2021-07-31,"[36.046789600000004, -86.86437729999999]",Group
Interdenominational Theological Center,Kentucky,Agricultural Mechanization,800,2021-10-31,"[33.7535451, -84.40971590000002]",Partner
Anne Arundel Community College at the Center for Cyber and Professional Training,Alaska,Mechanical Engineering,400,2022-09-29,"[39.153985, -76.7198118]",Group
Greenville College at Parkland Community College,Tennessee,Sociology,200,2022-12-29,"[40.1327671, -88.29075979999998]",Group
San Jose State University - Cisco Systems,Florida,Elementary Education ,600,2022-11-30,"[37.4083615, -121.95415449999999]",Group
Governors State University at El Valor,Virginia,Astrophysics,500,2021-10-31,"[41.8556436, -87.67544570000001]",Partner
Northern Illinois University at Wilbur Wright College,Missouri,Photojournalism,100,2021-07-27,"[41.911620500000005, -87.69667]",Group
Bay Path University,Minnesota,Data Processing,500,2021-08-30,"[42.055561499999996, -72.5838321]",Group
Eastern Illinois University at Lake Land College Kluthe Center,Hawaii,Animal Behavior and Ethology,100,2022-11-28,"[39.1433528, -88.52733599999998]",Partner
Ivy Tech Community College of Indiana at Greensburg Community High School,Oregon,Jewelry and Metalsmithing,800,2021-12-27,"[39.3428778, -85.4679725]",Group
Drake University,Massachusetts,Web Design,400,2022-08-30,"[41.60227709999999, -93.65208790000001]",Group
Delaware Technical Community College,Utah,Chemistry,500,2022-11-27,"[39.198030200000005, -75.56274609999998]",Partner
Kentucky School of Craft,New Jersey,Cinematography and Film/Video Production,300,2022-12-28,"[37.3343464, -82.975197]",Partner
American Graduate University,Oregon,American Literature,800,2022-12-27,"[34.0935112, -117.86955449999999]",Partner
Kentucky Christian University,Oregon,Anthropology,300,2021-07-31,"[38.3391318, -82.946694]",Partner
Northeastern Illinois University at Jacob H. Carruthers Center,Mississippi,Diagnostic Medical Sonography,700,2021-11-27,"[41.8231382, -87.60933690000002]",Group
University of Phoenix - St. John's Hospital,Nebraska,American History,800,2022-11-29,"[34.21630220000001, -119.15581019999999]",Group
Gordon State College,Iowa,Agricultural/Biological Engineering and Bioengineering,800,2021-10-29,"[33.048196399999995, -84.15377740000001]",Group
San Jose State University - IBM Santa Teresa Labs-Bailey Road,Wyoming,Molecular Biology,300,2021-10-27,"[37.1965835, -121.7487543]",Partner
Lake Forest Graduate School of Management - Chicago Campus,Kansas,Construction Management,100,2021-11-29,"[41.8824688, -87.6291652]",Group
North Fork Elementary School,Rhode Island,Sculpture ,300,2021-11-28,"[26.1236061, -80.16194790000002]",Group
Keiser University - Jacksonville,Arkansas,Japanese ,600,2022-11-27,"[30.259029700000003, -81.6027354]",Group
American Jewish University,Missouri,Teaching English as a Second Language,600,2021-08-30,"[34.126388399999996, -118.47252749999998]",Partner
Lawrence Township,New York,Industrial Engineering ,800,2022-08-27,"[39.8773821, -85.9715178]",Partner
Northern Kentucky University,Indiana,Public Policy Analysis ,800,2021-08-30,"[39.0334704, -84.45926850000001]",Group
Rockford University,Mississippi,Anthropology,300,2022-08-31,"[42.269123, -89.021474]",Partner
Benedictine University at St Francis HS,Massachusetts,Metallurgical Engineering ,100,2021-09-30,"[41.8556346, -88.1407287]",Partner
North Lauderdale,New Mexico,Dental Hygiene,100,2021-11-29,"[26.217081699999998, -80.22047719999998]",Partner
San Jose State University - Cisco Systems,Wisconsin,Nursing,700,2022-09-29,"[37.4083615, -121.95415449999999]",Group
Olivet Nazarene University at Madison School,Oregon,Real Estate ,400,2021-07-29,"[41.6108622, -87.6054463]",Partner
Northern Suburban Special Education District,Wyoming,Criminal Science,700,2021-07-30,"[42.166511, -87.82112389999998]",Group
"ELS Language Centers ? Richmond, Kentucky",Tennessee,Furniture Design,600,2021-10-29,"[37.738265500000004, -84.29835390000001]",Partner
University of Phoenix at Fort Carson,Georgia,Sports Management,600,2021-10-30,"[38.74824419999999, -104.79534190000001]",Group
Red Rocks Community College,Missouri,Geography,500,2022-10-31,"[39.7252202, -105.18565819999999]",Group
ITT Technical Institute - West Chester,Florida,Feed Science,400,2022-07-29,"[39.162211, -84.4498383]",Group
Saint Xavier University Huntley,Utah,Latin American Studies ,100,2022-07-30,"[42.164210499999996, -88.4680915]",Group
Elmhurst College at Good Samaritan Hospital,Louisiana,Pastoral Studies,100,2021-08-27,"[41.8181667, -88.0082236]",Partner
University of Phoenix at Community Hospital of San Bernardino,Hawaii,Computer Graphics,200,2022-10-28,"[34.1312113, -117.321673]",Partner
National Louis University at Vernon Hills HS,Arkansas,Jewelry and Metalsmithing,100,2022-10-30,"[42.226754, -87.94895029999998]",Group
Arizona State University at Whiteriver Elementary School,Washington,Mortuary Science ,500,2021-12-27,"[33.842613, -109.96260600000001]",Partner
Olivet Nazarene University at Westlake Hospital,Utah,Air Traffic Control,200,2021-12-29,"[41.8929096, -87.848568]",Partner
Joliet Junior College - North Campus,Nebraska,Clinical Psychology ,400,2022-08-31,"[41.637639899999996, -88.11610259999998]",Partner
University of Maryland - Eastern Shore at ESAC Higher Education Center,South Carolina,Atmospheric Science,700,2022-12-27,"[38.9413227, -76.0811296]",Group
Strayer University - Virginia Beach Campus,Oklahoma,Sport and Leisure Studies ,300,2021-12-31,"[36.8430891, -76.1343509]",Partner
Indiana Wesleyan University at MasterBrand Cabinets,Montana,Radio and Television,600,2022-12-28,"[38.397713399999994, -86.9205131]",Group
Grand Canyon University at Banner Desert Medical Center,Alabama,Chiropractic,200,2021-12-30,"[33.38908789999999, -111.87463629999999]",Group
Aurora University at Central Intermediate School,California,Industrial Psychology ,300,2022-10-28,"[41.321764200000004, -88.82934739999997]",Partner
Stenotype Institute of Jacksonville Inc - Orlando,Oregon,Middle Eastern Studies,500,2022-07-27,"[28.4720799, -81.400251]",Group
Indiana Wesleyan University at Country Inn & Suites,Alabama,Industrial Psychology ,400,2022-10-31,"[38.223015999999994, -85.54198840000001]",Group
Dixon-Hendry Campus,Tennessee,Advertising,600,2021-09-27,"[27.261751899999997, -80.83924929999998]",Partner
University of Phoenix - Las Vegas Campus,Massachusetts,Organizational Behavior Studies,500,2022-07-28,"[36.1215132, -115.3225578]",Group
Baker University,Indiana,Ancient Studies ,300,2021-09-28,"[39.354108700000005, -94.771262]",Group
Arkansas State University Technical,Virginia,Equine Studies,600,2022-09-30,"[44.4903519, -92.31159]",Partner
Waterloo Jr. High School,Colorado,Peace Studies,300,2022-09-30,"[38.33606109999999, -90.141535]",Group
Wilbur Wright College,Pennsylvania,Sustainable Resource Management ,400,2022-07-31,"[41.9459483, -87.7862806]",Group
Indiana University School of Dentistry,Illinois,Pre-Optometry,500,2021-08-30,"[39.774019700000004, -86.17998859999999]",Group
National Louis University at Bullen Junior High School,North Dakota,Sustainable Resource Management ,300,2022-08-30,"[42.6128941, -87.85727740000002]",Group
Southcentral Kentucky Community and Technical College - Glasgow Campus,Connecticut,Wildlife Management ,300,2021-12-27,"[37.0115153, -85.9074778]",Partner
Rural Regional Technology Center,West Virginia,Photojournalism,400,2022-12-29,"[37.9071886, -95.2972591]",Group
Rock Valley College at Samuelson Road Center,Michigan,Construction Management,700,2022-10-31,"[42.209019899999994, -89.0353494]",Partner
Indiana Wesleyan University at Jameson Inn South,Alaska,Classics,200,2022-11-28,"[39.666652899999995, -86.0928833]",Group
ITT Technical Institute - Baton Rouge,New York,Experimental Psychology ,200,2022-12-28,"[30.366306400000003, -91.0245835]",Partner
National Louis University at Roosevelt MS,North Dakota,Aerospace Engineering,500,2022-10-29,"[41.885208299999995, -87.864566]",Group
Alice Lloyd College,North Dakota,Music Education,500,2021-11-28,"[37.3344951, -82.8770547]",Group
Iowa School of Beauty,Vermont,Landscape Architecture ,300,2022-12-31,"[42.441818, -96.365883]",Group
Southern Arkansas University at University Of Arkansas Community College at Hope,Oregon,Recreation Management,400,2021-12-28,"[33.641039899999996, -93.5957257]",Group
Marinello School of Beauty - City of Industry,Ohio,Photography,600,2022-12-28,"[33.9944664, -117.92799280000001]",Group
Indiana Wesleyan University at Whitewater Technical Career Center,South Carolina,Journalism,300,2021-08-31,"[39.6333583, -85.16389559999998]",Partner
Central Louisiana Technical Community College - Rod Brady Center,New Jersey,Voice ,400,2022-07-29,"[31.676820199999998, -92.1226083]",Partner
University of Northern Iowa,Georgia,Biomedical Science,300,2021-07-31,"[42.5131211, -92.4628469]",Partner
TRCC at Corrigan-Radgowski Correctional Center,Maine,Petroleum Engineering ,700,2021-10-31,"[41.4529645, -72.11106679999999]",Partner
University of Maryland - College Park at McDaniels College,Alaska,Engineering Mechanics ,100,2022-09-30,"[39.5817181, -77.00217629999999]",Partner
Olivet Nazarene University at Reavis High School,Wyoming,Biology,500,2021-08-31,"[41.75356000000001, -87.77631799999997]",Group
University of Arizona - Downtown,Illinois,Special Education ,600,2022-08-29,"[32.291433000000005, -110.9700713]",Partner
Aurora University at Woodstock North High School,Delaware,Latin American Studies ,700,2022-12-30,"[42.3508749, -88.42592429999998]",Group
Colorado State University - Pueblo at Pikes Peak Community College,West Virginia,Military Science,800,2021-12-29,"[38.7642369, -104.78846800000001]",Group
National Louis University at Neuqua Valley High School,Tennessee,Entomology ,500,2021-09-29,"[41.7081094, -88.19451289999998]",Group
University of Iowa at Sioux City,Tennessee,Plant Pathology,400,2022-09-29,"[42.5270102, -96.4270388]",Group
University of Phoenix at Olympic Collection,Oklahoma,Bioethics,500,2021-12-30,"[34.0383805, -118.4421038]",Partner
Elmhurst College at Good Samaritan Hospital,Illinois,Teaching English as a Second Language,300,2022-07-27,"[41.8181667, -88.0082236]",Partner
Greenville College at Alton High School,West Virginia,Film,600,2022-12-29,"[38.9357151, -90.1585391]",Group
TRCC at Corrigan-Radgowski Correctional Center,Delaware,Materials Science ,600,2021-11-29,"[41.4529645, -72.11106679999999]",Partner
National Louis University at Scott Lake Elementary,Connecticut,Radiologic Technology,700,2021-08-29,"[27.9528852, -81.94441909999998]",Partner
Rockford Campus,Maine,Industrial Psychology ,400,2021-09-27,"[42.28016029999999, -88.9957463]",Partner
Florida Technical College - Deland,Georgia,Home Economics,400,2022-10-29,"[29.0090168, -81.3008623]",Partner
Olivet Nazarene University at Sullivan High School,Rhode Island,Feed Science,700,2021-10-31,"[42.0028084, -87.6689166]",Partner
Eastern Illinois University at Tri-County Special Ed District,Washington,Botany/Plant Biology,300,2021-12-27,"[37.7486357, -89.09571020000001]",Group
Adams State University at Monte Vista School District,Wisconsin,French,800,2022-07-30,"[37.5826146, -106.15467930000001]",Group
Dalton State Coll,Georgia,Pharmacy ,300,2021-10-27,"[34.7829167, -85.0014364]",Group
Marriott Townplace,Virginia,Child Care,800,2021-12-27,"[39.3271696, -94.91612009999999]",Group
Atmore,Missouri,Anthropology,500,2021-11-30,"[31.113727899999997, -87.47024609999998]",Group
